en,fr,de,es,it,kana,ko
Darkinium Zs,Ténébrozélites,Noctium Z,Nictostales Z,Obscurium Z,アクＺ,악Z
Steelium Zs,Métallozélites,Metallium Z,Metalostales Z,Metallium Z,ハガネＺ,강철Z
Fairium Zs,Nymphézélites,Sylphium Z,Feeristales Z,Follectium Z,フェアリーＺ,페어리Z
Pikanium Zs,Pikazélites,Pikachium Z,Pikastales Z,Pikacium Z,ピカチュウＺ,피카츄Z
Decidium Zs,Archézélites,Silvarronium Z,Dueyestales Z,Deciduenium Z,ジュナイパーＺ,모크나이퍼Z
Incinium Zs,Félinozélites,Fuegronium Z,Incinostales Z,Incineronium Z,ガオガエンＺ,어흥염Z
Primarium Zs,Oratozélites,Primarenium Z,Primastales Z,Primarinium Z,アシレーヌＺ,누리레느Z
Tapunium Zs,Tokozélites,Kapium Z,Tapistales Z,Tapium Z,カプＺ,카푸Z
Marshadium Zs,Marshadozélites,Marshadownium Z,Marshastales Z,Marshadium Z,マーシャドーＺ,마샤도Z
Aloraichium Zs,Aloraïzélites,A-Raichunium Z,Alo-Raistales Z,Aloraicium Z,アロライＺ,알로라이Z
Snorlium Zs,Ronflézélites,Relaxonium Z,Snorlastales Z,Snorlactium Z,カビゴンＺ,잠만보Z
Eevium Zs,Évolizélites,Evolium Z,Eeveestales Z,Eevium Z,イーブイＺ,이브이Z
Mewnium Zs,Mewzélites,Mewnium Z,Mewstales Z,Mewnium Z,ミュウＺ,뮤Z
Pikashunium Zs,Pikachazélites,Ash-Pikachium Z,Ash-Pikastales Z,Ashpikacium Z,サトピカＺ,지우피카Z
Pikashunium Zs,Pikachazélites,Ash-Pikachium Z,Ash-Pikastales Z,Ashpikacium Z,サトピカＺ,지우피카Z
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
Forage Bags,Sacs Ingrédients,Zutatenbeutel,Zurrones,Portaingredienti,ざいりょうぶくろ,재료주머니
Fishing Rods,Cannes à Pêche,Angeln,Cañas,Ami,つりざお,낚싯대
Professor’s Masks,Masques du Prof,Masken des Profs,Máscaras Profesor,Maschere Prof.,はかせのふくめん,박사의복면
Festival Tickets,Festickets,Festival-Tickets,Festicupones,Festicket,フェスチケット,페스티켓
Sparkling Stones,Gemmes Lumière,Glitzersteine,Piedras Brillantes,Pietre lucenti,かがやくいし,빛나는돌
Adrenaline Orbs,Orbes Frousse,Zitterorbs,Nerviosferas,Fifasfere,ビビリだま,주눅구슬
Zygarde Cubes,Boîtes Zygarde,Zygarde-Würfel,Arcas de Zygarde,Teche Zygarde,ジガルデキューブ,지가르데큐브
???,???,???,(?),???,？？？,???
Ice Stones,Pierres Glace,Eissteine,Piedras Hielo,Pietregelo,こおりのいし,얼음의돌
Ride Pagers,Appel-Montures,PokéMobil-Funk,Buscamonturas,Chiamapassaggi,ライドギア,라이드기어
Beast Balls,Ultra Balls,Ultrabälle,Ente Balls,UC Ball,ウルトラボール,울트라볼
Big Malasadas,Malasadas Maxi,Maxi-Malasadas,Malasadas Maxi,Malasada maxi,おおきいマラサダ,큰 말라사다
Red Nectars,Nectars Rouges,Rote Nektare,Néctares Rojos,Nettare rosso,くれないのミツ,다홍꿀
Yellow Nectars,Nectars Jaunes,Gelbe Nektare,Néctares Amarillos,Nettare giallo,やまぶきのミツ,진노랑꿀
Pink Nectars,Nectars Roses,Rosa Nektare,Néctares Rosas,Nettare rosa,うすもものミツ,연분홍꿀
Purple Nectars,Nectars Mauves,Purpurne Nektare,Néctares Violetas,Nettare viola,むらさきのミツ,보라꿀
Sun Flutes,Flûtes du Soleil,Sonnenflöten,Flautas Solares,Flauti solari,たいようのふえ,태양의피리
Moon Flutes,Flûtes de la Lune,Mondflöten,Flautas Lunares,Flauti lunari,つきのふえ,달의피리
???,???,???,(?),???,？？？,???
Enigmatic Cards,Messages Mystère,Seltsame Karten,Notas Intrigantes,Lettere segrete,あやしいカード,괴상한카드
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
Terrain Extenders,Champ’Duits,Feldbeschichtungen,Cubresuelos,Fissacampo,グランドコート,그라운드코트
Protective Pads,Pare-Effets,Schutzpolster,Paracontactos,Smorzaurti,ぼうごパット,방호패드
Electric Seeds,Graines Électrik,Elektro-Samen,Semillas Electro,Elettrosemi,エレキシード,일렉트릭시드
Psychic Seeds,Graines Psychiques,Psycho-Samen,Semillas Psique,Psicosemi,サイコシード,사이코시드
Misty Seeds,Graines Brume,Nebel-Samen,Semillas Bruma,Nebbiasemi,ミストシード,미스트시드
Grassy Seeds,Graines Herbe,Gras-Samen,Semillas Hierba,Erbasemi,グラスシード,그래스시드
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
???,???,???,(?),???,？？？,???
Fighting Memories,ROM Combat,Kampf-Discs,Discos Lucha,ROM Lotta,ファイトメモリ,파이팅메모리
Flying Memories,ROM Vol,Flug-Discs,Discos Volador,ROM Volante,フライングメモリ,플라잉메모리
Poison Memories,ROM Poison,Gift-Discs,Discos Veneno,ROM Veleno,ポイズンメモリ,포이즌메모리
Ground Memories,ROM Sol,Boden-Discs,Discos Tierra,ROM Terra,グラウンドメモリ,그라운드메모리
Rock Memories,ROM Roche,Gesteins-Discs,Discos Roca,ROM Roccia,ロックメモリ,락메모리
Bug Memories,ROM Insecte,Käfer-Discs,Discos Bicho,ROM Coleottero,バグメモリ,버그메모리
Ghost Memories,ROM Spectre,Geister-Discs,Discos Fantasma,ROM Spettro,ゴーストメモリ,고스트메모리
Steel Memories,ROM Acier,Stahl-Discs,Discos Acero,ROM Acciaio,スチールメモリ,스틸메모리
Fire Memories,ROM Feu,Feuer-Discs,Discos Fuego,ROM Fuoco,ファイヤーメモリ,파이어메모리
Water Memories,ROM Eau,Wasser-Discs,Discos Agua,ROM Acqua,ウオーターメモリ,워터메모리
Grass Memories,ROM Plante,Pflanzen-Discs,Discos Planta,ROM Erba,グラスメモリ,그래스메모리
Electric Memories,ROM Électrik,Elektro-Discs,Discos Eléctrico,ROM Elettro,エレクトロメモリ,일렉트릭메모리
Psychic Memories,ROM Psy,Psycho-Discs,Discos Psíquico,ROM Psico,サイキックメモリ,사이킥메모리
Ice Memories,ROM Glace,Eis-Discs,Discos Hielo,ROM Ghiaccio,アイスメモリ,아이스메모리
Dragon Memories,ROM Dragon,Drachen-Discs,Discos Dragón,ROM Drago,ドラゴンメモリ,드래곤메모리
Dark Memories,ROM Ténèbres,Unlicht-Discs,Discos Siniestro,ROM Buio,ダークメモリ,다크메모리
Fairy Memories,ROM Fée,Feen-Discs,Discos Hada,ROM Folletto,フェアリーメモリ,페어리메모리
